property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
"2 BHK Apartment for Sale in Shagun Residency, Jahangir Pura Surat",Super Area,1228 sqft,Resale,Ready to Move,2 out of 5,Semi-Furnished,East,"Unlock the charm of harmonious living with this 2 BHK flat for sale at Shagun Residency, Jahangir Pura, Surat. Featuring a construction age of 5 to 10 years, Vaastu compliance, and an east-facing orientation, this property promises a blend of modern comforts and traditional principles.Property Specifications Step into luxury with this spacious 2 BHK flat spanning 1228 sqft, located on the 2nd floor of a 5-story building. The property features a semi-furnished layout, offering a comfortable and stylish living experience.The flat includes 2 bedrooms with 1 attached bathroom and 1 common bathroom, both featuring Western fittings and equipped with geysers for hot water supply. Enjoy the scenic views from the attached balcony, overlooking the society's surroundings, perfect for relaxation and unwinding.The flat boasts a separate living and dining area, providing ample space for entertainment and gatherings. The modern kitchen is equipped with a chimney, piped gas connection, and a utility area attached, ensuring convenience and functionality. Elegant vitrified tiles adorn the flooring, adding a touch of sophistication to the interiors.Facilities Covered parking facilities are available for residents, ensuring the safety of vehicles. Enjoy 24-hour water supply from both borewell and corporation sources, along with a 100% power backup facility for uninterrupted living. The property is secured with the presence of a security guard, CCTV surveillance, and one lift for easy accessibility.Locality Nestled in a serene and developed area, this neighborhood opposite Asaram Bapu Ashram bus stand on the main road. Within a 2 km radius, residents have access to schools for education and a river nearby. Healthcare needs are easily met with hospitals located within the same distance. For shopping and entertainment, malls, supermarkets, and a cinema theatre are conveniently situated within 2 km. Public transport options, including buses and autos, are readily available, making commuting hassle-free for residents. Banking facilities and ATMs are close by, offering convenient financial services to the residents. While the railway station is located 8 to 10 km away, it provides connectivity to other parts of the city and beyond, adding to the accessibility and convenience of the locality.Read more","₹2,850 per sqft ",₹35 Lac 
"1 BHK Penthouse for Sale in Echo Point, Althan Surat",Super Area,1190 sqft,Resale,Ready to Move,11 out of 11,Furnished,East,1bhk   terrace 100 sqft available flat at althan road,"₹3,613 per sqft ",₹43 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,707 sqft,Resale,Ready to Move,7 out of 13,Unfurnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 44.18 Lac(s)Read more","₹3,624 per sqft ",₹44.2 Lac 
"2 BHK Apartment for Sale in Green Paradise, Jahangirabad Surat",Carpet Area,600 sqft,Resale,Ready to Move,7 out of 12,Unfurnished,North - West,2 bhk flat new building un used flat.,"₹3,165 per sqft ",₹32 Lac 
"2 BHK Apartment for Sale in Green City, Bhatha Surat",Super Area,1110 sqft,Resale,Ready to Move,3 out of 5,Semi-Furnished,South -West,new property,"₹3,784 per sqft ",₹42 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,970 sqft,Resale,Ready to Move,6 out of 10,Semi-Furnished,East,3bhk Fully FURNISHED,"₹3,093 per sqft ",₹30 Lac 
"2 BHK Apartment for Sale in Moonlight Residency, Vesu Surat",Carpet Area,750 sqft,Resale,Ready to Move,5 out of 10,Unfurnished,North - East,2 Bhk Flat For Sell In Vesu near Diamond Bourche,"₹4,688 per sqft ",₹60 Lac 
3 BHK Apartment for Sale in Dindoli Surat,Super Area,1900 sqft,New Property,Poss. by Dec '24,7 out of 14,Unfurnished,East,Luxurious flat available for sale in.PRAYOSHA IMPRESS,"₹2,800 per sqft ",₹53.2 Lac 
1 BHK Apartment for Sale in Amroli Surat,Super Area,660 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,Main Road,Well Maintained Excellent Ventilation  Gated Community,"₹3,030 per sqft ",₹20 Lac 
"2 BHK Apartment for Sale in Amber Palace, Kamrej Char Rasta Surat",Carpet Area,950 sqft,Resale,Ready to Move,2 out of 5,Furnished,"Garden/Park, Main Road","furnished flat with modular kitchen, all surrounding grills in balconies for safety of children, well maintained society, at very reasonable rateRead more","₹2,422 per sqft ",₹31 Lac 
"2 BHK Apartment for Sale in Globcon Spendora, Palanpur Surat",Super Area,1225 sqft,New Property,Poss. by Aug '24,6 out of 13,Unfurnished,South -West,2BHK ultra luxurious flat for sell in Palanpur. Prime location with all aminities. Having 1225 sqft covered area.Read more,"₹4,204 per sqft ",₹51.5 Lac 
"2 BHK Apartment for Sale in Green Paradise, Jahangirabad Surat",Carpet Area,675 sqft,Resale,Ready to Move,6 out of 14,Unfurnished,East,new bulding with all aminitues,"₹3,759 per sqft ",₹38 Lac 
2 BHK Apartment for Sale in Parley Point Surat,Carpet Area,850 sqft,Resale,Ready to Move,6 out of 12,Semi-Furnished,East,"Property is available in prime location. All basic requirement like Market, Malls, Schools, Hospitals, Airport, Cinemas etc, are available near by the project. This will become your right choice.Read more","₹4,385 per sqft ",₹57 Lac 
3 BHK Apartment for Sale in Adajan Surat,Super Area,1375 sqft,,Ready to Move,Resale,,,"3 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 60.0 Lac(s)Read more","₹4,364 per sqft ",₹60 Lac 
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",Carpet Area,1265 sqft,Resale,Ready to Move,13 out of 13,Unfurnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 40.0 Lac(s)Read more","₹3,162 per sqft ",₹40 Lac 
"2 BHK Apartment for Sale in Swapna Srusthi Residency Plots, Bhestan Surat",Carpet Area,750 sqft,Resale,Ready to Move,1 out of 4,Semi-Furnished,North - East,"1st floor, Garden facing","₹2,722 per sqft ",₹24.5 Lac 
1 BHK Apartment for Sale in Katar Gam Surat,Super Area,550 sqft,Resale,Ready to Move,5 out of 5,Unfurnished,East,"1 BHK, Multistorey Apartment is available for Sale in Katar Gam, Surat for 20.0 Lac(s)Read more","₹3,636 per sqft ",₹20 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,847 sqft,Resale,Ready to Move,1 out of 13,Furnished,East,"2 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 50.0 Lac(s)Read more","₹5,903 per sqft ",₹50 Lac 
2 BHK Apartment for Sale in Adajan Surat,Super Area,1100 sqft,Resale,Ready to Move,4 out of 5,Furnished,East,Fully sun lighting 2BHK flat with East west facing. totally modular kitchen. in good area.Read more,"₹3,273 per sqft ",₹36 Lac 
2 BHK Apartment for Sale in Nan Pura Surat,Super Area,820 sqft,Resale,Ready to Move,8 out of 9,Furnished,Main Road,"West facing, 24 hrs power and running water availability. Open terrace area for all. Strong construction, has passed in the test reports of s. M. CRead more","₹2,317 per sqft ",₹19 Lac 
"1 BHK Apartment for Sale in Swapna Villa 2 Phase 2, Kamrej Surat",Carpet Area,750 sqft,Resale,Ready to Move,1 out of 5,Semi-Furnished,Swapna Villa 2 Phase 2,"1 BHK, Multistorey Apartment is available for Sale in Kamrej, Surat for 25.0 Lac(s)Read more","₹3,125 per sqft ",₹25 Lac 
4 BHK Apartment for Sale in Bhatar Surat,Super Area,1370 sqft,Resale,Ready to Move,3 out of 4,Unfurnished,2,Its a 3rd floor Multistorey Apartment in a building of total 4 floors. The Multistorey Apartment construction is more than 10 to 15 years old.Read more,"₹3,212 per sqft ",₹44 Lac 
"3 BHK Apartment for Sale in Green City, Bhatha Surat",Super Area,1725 sqft,Green City,Ready to Move,Resale,,,"3 BHK, Multistorey Apartment is available for Sale in Bhatha, Surat for 60.0 Lac(s)Read more","₹3,478 per sqft ",₹60 Lac 
2 BHK Builder Floor for Sale in Adajan Surat,Super Area,1200 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,East,"2 BHK, Builder Floor Apartment is available for Sale in Adajan, Surat for 35.0 Lac(s)Read more","₹2,917 per sqft ",₹35 Lac 
2 BHK Builder Floor for Sale in Nana Varachha Surat,Super Area,1267 sqft,Resale,Ready to Move,2 out of 4,Furnished,North - West,"2 BHK, Builder Floor Apartment is available for Sale in Nana Varachha, Surat for 50.0 Lac(s)Read more","₹3,946 per sqft ",₹50 Lac 
3 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1600 sqft,Resale,Ready to Move,9 out of 13,Unfurnished,3,"3 BHK, Multistorey Apartment is available for Sale in Jahangirabad, Surat for 30.0 Lac(s)Read more","₹1,875 per sqft ",₹30 Lac 
1 BHK Apartment for Sale in Palanpur Surat,Carpet Area,441 sqft,Resale,Ready to Move,3 out of 5,Unfurnished,South,"1 BHK, Multistorey Apartment is available for Sale in Palanpur, Surat for 23.51 Lac(s)Read more","₹3,509 per sqft ",₹23.5 Lac 
"2 BHK Apartment for Sale in Nandan Enclave, Piplod Surat",Carpet Area,945 sqft,Resale,Ready to Move,7 out of 10,Semi-Furnished,Main Road,Porperty at one of posh area in Surat and Best location,"₹4,296 per sqft ",₹58 Lac 
3 BHK Apartment for Sale in mahavir appartment Surat,Carpet Area,1327 sqft,Resale,Ready to Move,4 out of 9,Furnished,2,"3 BHK, Multistorey Apartment is available for Sale in , Surat for 42.50 Lac(s)Read more","₹2,881 per sqft ",₹42.5 Lac 
3 BHK Apartment for Sale in Sarthana Jakat Naka Surat,Carpet Area,1150 sqft,Resale,Ready to Move,4 out of 5,Furnished,East,"10 x 20 Living room  10 x 10 Children room  12 x 10 Master bedroom -1 with washroom  11 x 10 Master bedroom -2 with washroom  1 general bathroom 8 x 6  balcony  Storeroom  Washarea    2 bed 2 dressing table  200 liter privet tank   4x2 marble temple   Road  gate corner full location  Fully air circulation  Vraj villa residency  Opp,sarthana police chowki  Rate - 49 lacRead more","₹3,500 per sqft ",₹49 Lac 
2 BHK Apartment for Sale in Aarav Apartment Surat,Super Area,850 sqft,Resale,Ready to Move,3 out of 4,Unfurnished,Main Road,"very close of evey useful need like hospital railway station, bus station, sabji marketRead more","₹2,941 per sqft ",₹25 Lac 
"2 BHK Apartment for Sale in Navsarjan Appartment, Kailash Nagar Surat",Super Area,729 sqft,Resale,Ready to Move,2 out of 3,Semi-Furnished,Navsarjan Appartment,"2 BHK, Multistorey Apartment is available for Sale in Kailash Nagar, Surat for 17.0 Lac(s)Read more","₹2,332 per sqft ",₹17 Lac 
"2 BHK Apartment for Sale in Aagam Heights, Althan Surat",Super Area,1300 sqft,Resale,Ready to Move,9 out of 13,Semi-Furnished,"Pool, Garden/Park","Wind direction property  nice gallery view, semi furnished","₹4,000 per sqft ",₹52 Lac 
2 BHK Apartment for Sale in Surat,Super Area,1041 sqft,Resale,Ready to Move,2 out of 5,Unfurnished,"Garden/Park, Main Road","2 bhk flat having full Furnished and good ventilation. CCTV, Car parking amenities availableRead more","₹3,650 per sqft ",₹38 Lac 
4 BHK Penthouse for Sale in Mandvi Surat,Carpet Area,1300 sqft,Resale,Ready to Move,Ground out of 2,Furnished,6,"4 BHK, Penthouse is available for Sale in Mandvi, Surat for 45.0 Lac(s)Read more",,₹45 Lac 
2 BHK Apartment for Sale in Vesu Canal Road Surat,Carpet Area,715 sqft,Resale,Ready to Move,8 out of 10,Furnished,2,"2 BHK, Multistorey Apartment is available for Sale in Vesu Canal Road, Surat for 43.0 Lac(s)Read more","₹3,629 per sqft ",₹43 Lac 
"2 BHK Apartment for Sale in Vaidehi Heights, Dindoli Surat",Carpet Area,1050 sqft,Resale,Ready to Move,2 out of 12,Furnished,East,"High Reach Aarkitack design, And Extra Space","₹3,477 per sqft ",₹36.5 Lac 
"2 BHK Apartment for Sale in Sai Upavan, Palanpur Gam Surat",Super Area,1264 sqft,Resale,Ready to Move,13 out of 14,Unfurnished,East,"2 BHK, Multistorey Apartment is available for Sale in Palanpur Gam, Surat for 55.0 Lac(s)Read more","₹4,351 per sqft ",₹55 Lac 
"2 BHK Apartment for Sale in Shiv Shrungal Homes, Althan Surat",Carpet Area,1144 sqft,Resale,Ready to Move,5 out of 5,Semi-Furnished,West,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,,₹52 Lac 
"2 BHK Apartment for Sale in Shagun Avenue, Parvat Patiya Surat",Super Area,1155 sqft,Resale,Ready to Move,6 out of 13,Unfurnished,West,"2 BHK, Multistorey Apartment is available for Sale in Parvat Patiya, Surat for 40.42 Lac(s)Read more","₹3,500 per sqft ",₹40.4 Lac 
2 BHK Apartment for Sale in Palanpur Patia Surat,Super Area,1150 sqft,Resale,Ready to Move,5 out of 5,Semi-Furnished,2, This Multistorey Apartment is located at 5th floor in a building of total 5 floors. Read more,"₹2,783 per sqft ",₹32 Lac 
